"Region","Org Code","Provider name","Modality","Total_Scans","RequestToTest_Days","TestToReport_Days","Total_Turnaround_Days"
"-","-","ENGLAND","Computerized Axial Tomography","8291725.0","1.0","0.0","1.0"
"-","-","ENGLAND","Diagnostic Ultrasonography","11439175.0","15.0","0.0","15.0"
"-","-","ENGLAND","Fluoroscopy","959480.0","0.0","0.0","0.0"
"-","-","ENGLAND","Magnetic Resonance Imaging","4837820.0","21.0","4.0","25.0"
"-","-","ENGLAND","Medical Photography","67400.0","0.0","0.0","0.0"
"-","-","ENGLAND","Nuclear Medicine Procedure","321835.0","22.0","1.0","23.0"
"-","-","ENGLAND","Plain Radiography","23346900.0","0.0","1.0","1.0"
"-","-","ENGLAND","Positron Emission Tomography","299550.0","9.0","2.0","11.0"
"-","-","ENGLAND","Single Photon Emission Computerized Tomography","58620.0","19.0","2.0","21.0"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"Y56","NT9","Alliance Medical","Computerized Axial Tomography","795.0","4.0","8.0","12.0"
"Y56","NT9","Alliance Medical","Diagnostic Ultrasonography","1780.0","10.0","1.0","11.0"
"Y56","NT9","Alliance Medical","Magnetic Resonance Imaging","20310.0","8.0","4.0","12.0"
"Y56","NT9","Alliance Medical","Plain Radiography","970.0","58.5","",""
"Y56","NT9","Alliance Medical","Positron Emission Tomography","7025.0","9.0","2.0","11.0"
"Y56","RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Computerized Axial Tomography","95290.0","0.0","0.0","0.0"
"Y56","RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Diagnostic Ultrasonography","175555.0","13.0","0.0","13.0"
"Y56","RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Fluoroscopy","7850.0","1.0","1.0","2.0"
"Y56","RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Magnetic Resonance Imaging","56430.0","20.0","3.0","23.0"
"Y56","RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Nuclear Medicine Procedure","4185.0","23.0","1.0","24.0"
"Y56","RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Plain Radiography","289635.0","0.0","0.0","0.0"
"Y56","RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","Single Photon Emission Computerized Tomography","1515.0","8.0","0.0","8.0"
"Y56","R1H","Barts Health NHS Trust","Computerized Axial Tomography","151335.0","0.0","0.0","0.0"
"Y56","R1H","Barts Health NHS Trust","Diagnostic Ultrasonography","346355.0","21.0","0.0","21.0"
"Y56","R1H","Barts Health NHS Trust","Fluoroscopy","20010.0","0.0","0.0","0.0"
"Y56","R1H","Barts Health NHS Trust","Magnetic Resonance Imaging","72805.0","32.0","6.0","38.0"
"Y56","R1H","Barts Health NHS Trust","Nuclear Medicine Procedure","5205.0","16.0","1.0","17.0"
"Y56","R1H","Barts Health NHS Trust","Plain Radiography","418920.0","0.0","6.0","6.0"
"Y56","R1H","Barts Health NHS Trust","Positron Emission Tomography","9730.0","17.0","3.0","20.0"
"Y56","R1H","Barts Health NHS Trust","Single Photon Emission Computerized Tomography","415.0","26.0","1.0","27.0"
"Y56","RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Computerized Axial Tomography","93960.0","0.0","0.0","0.0"
"Y56","RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Diagnostic Ultrasonography","155885.0","0.0","0.0","0.0"
"Y56","RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Fluoroscopy","5065.0","0.0","0.0","0.0"
"Y56","RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Magnetic Resonance Imaging","37415.0","0.0","6.0","6.0"
"Y56","RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Nuclear Medicine Procedure","5655.0","0.0","2.0","2.0"
"Y56","RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Plain Radiography","242135.0","0.0","1.0","1.0"
"Y56","RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Positron Emission Tomography","35.0","0.0","9.0","9.0"
"Y56","RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Single Photon Emission Computerized Tomography","1035.0","0.0","4.0","4.0"
"Y56","NT4","Circle Health Group Limited","Computerized Axial Tomography","3260.0","9.0","4.0","13.0"
"Y56","NT4","Circle Health Group Limited","Diagnostic Ultrasonography","6995.0","12.0","0.0","12.0"
"Y56","NT4","Circle Health Group Limited","Fluoroscopy","45.0","14.0","1.5","15.5"
"Y56","NT4","Circle Health Group Limited","Magnetic Resonance Imaging","14180.0","8.0","2.0","10.0"
"Y56","NT4","Circle Health Group Limited","Plain Radiography","1565.0","7.0","1.0","8.0"
"Y56","RJ6","Croydon Health Services NHS Trust","Computerized Axial Tomography","38815.0","0.0","0.0","0.0"
"Y56","RJ6","Croydon Health Services NHS Trust","Diagnostic Ultrasonography","87485.0","13.0","0.0","13.0"
"Y56","RJ6","Croydon Health Services NHS Trust","Fluoroscopy","2880.0","3.0","0.0","3.0"
"Y56","RJ6","Croydon Health Services NHS Trust","Magnetic Resonance Imaging","29010.0","26.0","4.0","30.0"
"Y56","RJ6","Croydon Health Services NHS Trust","Plain Radiography","162780.0","0.0","1.0","1.0"
"Y56","RVR","Epsom and St Helier University Hospitals NHS Trust","Computerized Axial Tomography","57235.0","0.0","0.0","0.0"
"Y56","RVR","Epsom and St Helier University Hospitals NHS Trust","Diagnostic Ultrasonography","78410.0","35.0","0.0","35.0"
"Y56","RVR","Epsom and St Helier University Hospitals NHS Trust","Fluoroscopy","3535.0","14.0","0.0","14.0"
"Y56","RVR","Epsom and St Helier University Hospitals NHS Trust","Magnetic Resonance Imaging","25170.0","8.0","3.0","11.0"
"Y56","RVR","Epsom and St Helier University Hospitals NHS Trust","Nuclear Medicine Procedure","2010.0","15.0","0.0","15.0"
"Y56","RVR","Epsom and St Helier University Hospitals NHS Trust","Plain Radiography","184970.0","0.0","1.0","1.0"
"Y56","RVR","Epsom and St Helier University Hospitals NHS Trust","Single Photon Emission Computerized Tomography","1810.0","10.0","0.0","10.0"
